id	title	sha256	mapper	board	golden	loader_opts	member
smrpg	Super Mario RPG - Legend of the Seven Stars (USA).sfc	740646f3535bfb365ca44e70d46ab433467b142bd84010393070bd0b141af853	0x23	snes_sa1	smrpg.dump		
kirbysuperstar	Kirby Super Star (USA).sfc	4e095fbbdec4a16b075d7140385ff68b259870ca9e3357f076dfff7f3d1c4a62	0x23	snes_sa1	kirbysuperstar.dump		
starfox	Star Fox (USA) (Rev 2).sfc	82e39dfbb3e4fe5c28044e80878392070c618b298dd5a267e5ea53c8f72cc548	0x20	snes_superfx	starfox.dump		
starfoxcopier	Star Fox (V1.0) (U).smc	af935fa278babd57fec9f4e8d86c7d0cca49f1b334740f942546b1922a32bac0	0x20	snes_superfx	starfoxcopier.dump		
yoshisisland	Super Mario World 2 - Yoshi's Island (USA).sfc	9b4957466798bbdb5b43a450bbb60b2591ae81d95b891430f62d53ca62e8bc7b	0x20	snes_superfx	yoshisisland.dump		
stuntracefx	Stunt Race FX (USA) (Rev 1).sfc	c04d80b84514202ff319384ca20641eb0189e975eed5612915bd9c224b2ab30a	0x20	snes_superfx	stuntracefx.dump		
pilotwings	Pilotwings (USA).sfc	03d0127f5de3237e22ad00de0c20763274da7b71142dde693240ac96d10983a3	0x20	snes_dsp	pilotwings.dump		
pilotwingscopier	Pilotwings (U).smc	f6b05a4b88394a88930eba4f18bb76bafbe335fda413280806ae199721f9fb3b	0x20	snes_dsp	pilotwingscopier.dump		
supermariokart	Super Mario Kart (USA).sfc	2ada8919688087be60a6a48cace8f877add60c45d2e5d09e2442faa55be62a49	0x31	snes_dsp	supermariokart.dump		
sfalpha2	Street Fighter Alpha 2 (USA).sfc	910a29f834199c63c22beddc749baba746da9922196a553255deade59f4fc127	0x32	snes_sdd1	sfalpha2.dump		
megamanx3	Mega Man X3 (USA).sfc	65b03268afac296330e8ff8d60dd0825879e13ed658b37713c034a3bd074f1d7	0x20	snes_cx4	megamanx3.dump		
tofphant	tofphant.smc	e2abf50de28f5e4c8bb3dd4b02a870ff650bfa658ca35928e82c1ea106db228e	0x35	snes_exhirom	tofphant.dump		
marioearlyyears	Mario's Early Years - Fun with Numbers (USA).sfc	57b94f5f576abbe8bd8f5a4eeb6cf927300ec1b5f0596610f3539ba733505c12	0x31	snes_hirom	marioearlyyears.dump		
