id	title	sha256	mapper	board	golden	loader_opts
zelda	Legend of Zelda (PRG 0) (U)	8f72dc2e98572eb4ba7c3a902bca5f69c448fc4391837e5f8f0d4556280440ac	1	nes_mmc1	zelda.dump	-preScript RunFromElsewhereTransfer.java src:W8000_M3_B1:a500 dst:6c90 len:0x1270 disassemble:true function:true site:W8000_M3_B1:8d00 jump:W8000_M3_B1:a13b
smb3	Super Mario Bros 3 (PRG 1) (U)	4377a7f5e6eb50bdd2ac6f249bf1a7085500aca8eb41f38545c3a2731c51a579	4	nes_mmc3	smb3.dump	
contra	Contra (U)	26541a5550ee22deeb3d5484e4a96130219b58cff74d068fb1eb6567fa5e5519	2	nes_uxrom	contra.dump	
megaman	Mega Man (U)	e5bbc798798a0f5ae6e6d22a35df2fc3d08cefe6a1b278ed7f1cc325e8ee19e0	2	nes_uxrom	megaman.dump	
ironsword	Ironsword - Wizards & Warriors 2 (U)	ee026cae8fb9953cb22cef92313d429aa4c8600f05c699ef47e22061518f691e	7	nes_axrom	ironsword.dump	
smb	Super Mario Bros. (W) (V1.0)	0b3d9e1f01ed1668205bab34d6c82b0e281456e137352e4f36a9b2cfa3b66dea	0	nes_nrom	smb.dump	
db3	Dragon Ball 3 - Gokuu Den (Japan)	b7f865e4f7e80064982979f16afc659d9607519b8b858482f3d02475fb986c2b	16	nes_bandai_fcg	db3.dump	
dbz2	Dragon Ball Z II - Gekishin Freeza!! (Japan)	f0569ec8cb1eb8140aa2465e5ce1319f41b8c81c98ff56556e8f543f31942713	16	nes_bandai_fcg	dbz2.dump	
dbz_datach	Dragon Ball Z - Gekitou Tenkaichi Budoukai (Japan) (Datach)	17fec54a27a7783c6e36739c00cc7ad1c9447d7788e6458486b169354e9a36fa	157	nes_bandai_fcg	dbz_datach.dump	
dbz_saiyan	Dragon Ball Z - Kyoushuu! Saiya Jin (Japan)	02ef93c157c226101bf0790639845bdfa8173df894e095e687f396bbddf583ce	159	nes_bandai_fcg	dbz_saiyan.dump	
dragonpower	Dragon Power (USA)	e52cc421c726181a35f0cc9e8969a8aad50abd17bdc7eea59dc065990a576147	66	nes_gxrom	dragonpower.dump	
shenlong	Dragon Ball - Shen Long no Nazo (Japan)	2a7e4c99771c4292cc9d1261a01af1d93f4d94e6865d1c257e2a19fc4dca6451	66	nes_gxrom	shenlong.dump	
